검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
MBC,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9753945&keyword=MBC,"구리가 13억, 광명은 17억.. 경기 집값도 '부르는게 값' 됐다 [1015 풍선효과]",주식이 2천에서 4천이 되고.. 서울은 폭주중이라 경기도 관심도 없었는데.. 엄청 올랐다고 알려주네요. 서울 분양가 2배 올랐는데.. 경기도 인건비 + 자재비 + 설계비 안오르면 비정상이죠. 수요와공급 절대 법칙 지방은 미분양이니 그것도 해결 못하는데.. 지방도 오르면 그때는 비정상,2025-12-10,,2025-12-10
MBN,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754810&keyword=MBN,'쿠팡 본사 진입 시도' 노조원 등 4명 4시간 만에 석방,쿠팡 : 훌륭하다 한국경찰...............,2025-12-10,티티티티파파파파,2025-12-10
OBS,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=humor&no=719876&keyword=OBS,약혐 수술하지 않으면 죽지만 수술을 해도 죽소,"보통 고형장기에 생긴 암은 주변부를 포함해 자르는게 원칙이지만 폐암수술에선 고려할게 하나 더 있으니 남은 폐로 제대로 숨을 쉴 수 있는가? 이다 폐의 기체교환은 유체(공기)의 흐름과 폐포의 면적에 의해 정해지는 물리적 확산이라 폐를 잘라내면 그만큼 폐포의 면적이 줄어들기에 그만큼 빠르게 돌려야 하고 이말인즉슨 수술 전부터 호흡을 빠르게 돌리는(=숨이 차는)상황이면 수술로 암을 없앤다 해도 남은 폐로 산소공급이 안되서 죽게 된다는 뜻이다 그래서 폐암수술을 결정할 때는 수술로 암을 완전히 없앨 수 있는지에 대한 수술가능성과 남은 폐로 살아가는게 가능한지에 대한 수술가능성을 모두 고려해서 하며 암이 초기라도 환자가 남은 폐로 숨을 쉴 수 없으면 수술을 못 한다 그러면 슬슬 저 ""남은 폐로 숨을 못 쉬는 상황""이 뭔지 궁금할텐데 호흡생리학에선 뭉뚱그려서 폐쇄성 질환obstructive disease이라고 부르고 임상적으로 가장 흔한 건 폐기종emphysema이다 그리고 (그림을 보고 눈치챈 사람도 있겠지만)성인에서 폐기종을 일으키는 가장 흔한 원인은 담배다",2025-12-10,뽕부라자,2025-12-10
SBS,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754326&keyword=SBS,"홍탁집 사장, 백종원 공개 응원지금까지도 큰 도움",근데 뉴스 댓글들이 많이 안좋네요 ㄷㄷㄷ,2025-12-10,cantik,2025-12-10
SBS,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754031&keyword=SBS,'쿠팡 경영진' 처벌 못 한다법 개정 때문,"지난 2023년 2월 개인정보보호법이 개정돼 '안전성 확보에 필요한 조치를 하지 않은 자'에 대한 처벌 조항이 삭제됐기 때문입니다. 당시 정부가 '형벌은 완화하되 기업의 경제적 책임은 강화하는 방향으로 전환하겠다'며 형벌 대신 과징금을 올리는 방향으로 입법한 결과입니다. 해킹이나 고의 유출처럼 부정하게 개인정보를 취득한 이들에 대해서만 수사가 가능한 거라, 이번 사건의 경우 개인정보를 탈취한 것으로 지목된 중국 국적의 전직 직원은 수사 대상이지만, 쿠팡 경영진이나 법인에 대한 수사와 처벌은 불가능합니다. 검찰 관계자도 SBS에 ""대검 등 수사기관에 쿠팡 고발장이 여러 건 접수됐지만 관리 책임에 대한 수사에 착수할 방법은 현재로서는 없다""고 밝혔습니다. 입법 취지와 달리 법 개정 이후 기업들의 정보보호 투자는 오히려 뒷걸음질 치고 있습니다.",2025-12-10,케빈빔머,2025-12-10
SBS,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=money&no=537543&keyword=SBS,쿠팡 경영진 처벌 못 한다,에휴 개판  내개인정보 훔쳐간거 제대로 배상하라고요,2025-12-10,샘알트만,2025-12-10
YTN,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754518&keyword=YTN,[ytn 속보] 코레일 노조협상 결렬 내일서부터 총파업 돌입 합니다,[ytn 속보]  코레일 노조협상 결렬 내일서부터 총파업 돌입 합니다 철도 지하철이 영향이 있을것 입니다,2025-12-10,김수진수진,2025-12-10
YTN,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=stock&no=316457&keyword=YTN,"몸값 5조엘유프로, 코스닥 상장 청신호","기사가 2024년부터만 있던데? 되게 유망한 회사인가요? 첨들어 보는데 기사도 없고 신기; 글로벌ai카메라, 그린수소 암모니아 자원생산 사업을 한다는데, 아직 생산도 안했는데 공급만 사업 하는 쪽이 오만, 태국, 인터뷰 하는 사람들은 다 나이든 사람만 하고; 전 국무총리랑 찍은 기사 본사주소 : (08513) 서울 금천구 벚꽃로 234, 1904호 (가산동,에이스하이엔드타워6차) (주)엘유프로 회사 소개 영상도 그렇고; 주소지도 ; 신기~  몸값5조... 그린수소 그린암모니아 자원생산·최첨단 인공지능( AI ) 카메라 생산기업 엘유프로가 초대형 글로벌 프로젝트 가시화로 대규모 성장 잠재력을 주목받으면서 코스닥 상장에 청신호가 켜졌다. 앞서 엘유프로는 지난 10월 삼정 KPMG 으로부터 해외 그린수소·그린암모니아 자원생산 사업이 5조원의 가치가 있다고 평가 받은 바 있다. 엘유프로는 태국, UAE 등지에서 그린수소·그린암모니아 자원생산 사업을 본격화하고 있다고 10일 밝혔다. 업계에서는 그린에너지와 AI 카메라, 양대 축을 바탕으로 한 엘유프로의 기업 구조가 안정적 실적과 고성장 비전의 균형을 갖춘 사업모델로 평가되고 있는 만큼 엘유프로가 IPO 에 성공할 경우 기업가치가 상승할 가능성이 크다는 의견이 나온다. 엘유프로는 생산·저장·운송·벙커링까지 연결되는 통합 에너지 밸류체인 구축을 목표로 하고 있다. 태국과 UAE 에서 생산될 그린암모니아를 전북 새만금항 신항으로 들여와 국내 산업체·발전사에 공급하는 역할을 수행하게 된다. 카메라 분야에서도 결실을 앞두고 있다. 엘유프로는 태국 주요 보안기관과 협력, 주야간 초장거리 피사체 식별이 가능한 최첨단 AI 카메라를 국경에 배치하는 프로젝트를 추진하고 있다. 제품 성능 검증은 이미 완료되었으며 국가 단위 보안 인프라 적용을 태국 측과 논의 중이다. 또한 UAE 아부다비에 최첨단 AI 카메라 제조공장을 건립 중이며, 2026년 상반기 완공을 목표로 제조설비·생산 체계 구축을 진행 중이다. UAE 아부다비 공장에서 군·항만·국경경계 시스템에 필요한 최고급 AI 카메라를 생산, 중동·유럽·아시아 시장으로 직수출할 계획이다.",2025-12-10,오잉아잉~,2025-12-10
YTN,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754381&keyword=YTN,일본 오키나와 누비는 중국 항모폭격기 '무력시위',ㄷㄷㄷ,2025-12-10,Qwert0624,2025-12-10
YTN,1.뽐뿌,https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9754328&keyword=YTN,김건희특검에서 양평 ytn 관련 수사도 진행하고있나요?,관련해서 결과가 아직 안나온거죠? 양평은 현 국짐의원 소환한다고 나오긴했는데. 원희룡소환소식도 없고,2025-12-10,계란간장밥,2025-12-10
